galaxy,chi_cbt,chi_newton,winner,alpha,v_max,size
CamB,5.4215,5.5869,CBT,0.267,20.1,1.8
D564-8,5.3975,6.0100,CBT,0.298,25.0,3.1
D631-7,28.5162,39.2724,CBT,0.348,58.5,7.2
DDO064,0.2585,0.2611,CBT,0.297,46.9,3.0
DDO154,41.2377,55.4113,CBT,0.337,48.2,5.9
DDO161,25.3949,33.2993,CBT,0.385,67.5,13.4
DDO168,24.3235,27.5907,CBT,0.316,55.0,4.1
DDO170,10.7108,14.0866,CBT,0.380,62.2,12.3
ESO079-G014,6.4287,8.0749,CBT,0.398,178.0,16.7
ESO116-G012,21.9714,33.5748,CBT,0.367,112.0,9.9
ESO444-G084,20.0193,24.6043,CBT,0.320,63.1,4.4
ESO563-G021,22.2851,35.9545,CBT,0.453,321.0,42.4
F561-1,0.5010,0.5970,CBT,0.366,50.4,9.7
F563-1,1.1227,1.4491,CBT,0.409,112.5,20.1
F563-V1,0.1971,0.1667,Newton,0.354,29.5,7.9
F563-V2,0.1905,0.2008,CBT,0.371,118.0,10.5
F565-V2,0.2817,0.4173,CBT,0.360,83.1,8.8
F567-2,0.2572,0.3921,CBT,0.365,52.2,9.6
F568-1,0.7480,1.0826,CBT,0.384,142.0,13.2
F568-3,2.1351,3.2909,CBT,0.402,120.0,18.0
F568-V1,0.1806,0.2087,CBT,0.401,118.0,17.6
F571-V1,1.0222,1.3640,CBT,0.386,84.3,13.6
F574-1,1.2713,2.1461,CBT,0.381,99.7,12.6
F574-2,0.1296,0.1379,CBT,0.373,40.0,10.8
F579-V1,1.4860,1.0963,Newton,0.392,114.0,15.2
F583-1,1.3982,2.0707,CBT,0.396,86.9,16.3
F583-4,0.4718,0.6448,CBT,0.349,69.9,7.3
IC2574,6.7550,6.8071,CBT,0.369,67.5,10.2
IC4202,42.3467,59.4080,CBT,0.424,250.0,25.9
KK98-251,0.6023,0.6957,CBT,0.300,34.6,3.1
NGC0024,5.8677,10.1529,CBT,0.375,110.0,11.3
NGC0055,7.3854,11.8918,CBT,0.386,87.4,13.5
NGC0100,5.4892,8.5923,CBT,0.366,91.2,9.6
NGC0247,3.6777,1.8439,Newton,0.390,108.0,14.5
NGC0289,13.0691,31.4264,CBT,0.483,194.0,71.1
NGC0300,12.8957,19.8975,CBT,0.378,97.0,11.8
NGC0801,18.3174,53.8720,CBT,0.473,238.0,59.8
NGC0891,48.4357,85.3745,CBT,0.399,234.0,17.1
NGC1090,25.3251,47.8699,CBT,0.433,176.0,30.1
NGC1705,6.6764,8.9797,CBT,0.338,73.2,6.0
NGC2366,8.3698,10.6711,CBT,0.338,53.7,6.1
NGC2683,2.7858,13.6754,CBT,0.441,212.0,34.6
NGC2915,9.8954,12.8082,CBT,0.368,86.5,10.0
NGC2955,8.0751,10.1836,CBT,0.442,276.0,35.4
NGC2976,0.7509,0.7969,CBT,0.281,88.7,2.3
NGC2998,20.7126,34.7682,CBT,0.453,214.0,42.3
NGC3109,6.0769,9.0984,CBT,0.342,67.3,6.5
NGC3521,3.9300,8.7551,CBT,0.402,220.0,17.7
NGC3726,9.2421,17.5031,CBT,0.437,169.0,32.5
NGC3741,15.6707,20.9264,CBT,0.347,51.6,7.0
NGC3769,10.0071,20.4185,CBT,0.445,126.0,37.2
NGC3877,6.4994,7.5307,CBT,0.375,171.0,11.3
NGC3893,8.4996,17.3994,CBT,0.406,194.0,19.1
NGC3917,3.5354,4.4593,CBT,0.391,138.0,14.9
NGC3949,1.3025,2.5340,CBT,0.348,169.0,7.1
NGC3953,0.3665,0.6992,CBT,0.394,224.0,15.7
NGC3972,3.2053,3.9903,CBT,0.360,134.0,8.7
NGC3992,7.9112,19.1760,CBT,0.458,272.0,46.0
NGC4010,6.0067,8.1697,CBT,0.371,129.0,10.5
NGC4013,28.2610,60.3733,CBT,0.434,198.0,31.0
NGC4051,0.7445,1.3215,CBT,0.380,161.0,12.2
NGC4068,1.9838,2.0919,CBT,0.282,41.9,2.3
NGC4085,6.9874,9.3647,CBT,0.340,136.0,6.2
NGC4088,6.3903,11.4932,CBT,0.413,182.0,21.5
NGC4100,6.1354,12.7474,CBT,0.416,195.0,22.8
NGC4138,1.6506,4.7871,CBT,0.404,195.0,18.6
NGC4157,8.7497,17.9086,CBT,0.432,201.0,29.6
NGC4183,1.8602,3.0663,CBT,0.412,115.0,21.0
NGC4214,6.7631,8.8536,CBT,0.334,80.6,5.6
NGC4217,26.1982,41.8038,CBT,0.398,191.0,16.7
NGC4389,5.4835,7.2339,CBT,0.331,110.0,5.3
NGC4559,9.5086,15.0546,CBT,0.411,124.0,21.0
NGC5005,0.3623,1.0524,CBT,0.376,265.0,11.5
NGC5371,15.5666,23.1648,CBT,0.458,242.0,46.2
NGC5907,47.6670,99.5981,CBT,0.463,235.0,50.3
NGC5985,12.2655,12.7944,CBT,0.441,305.0,34.7
NGC6015,33.6231,70.8362,CBT,0.431,166.0,29.2
NGC6195,8.9235,13.7109,CBT,0.444,258.0,36.4
NGC6946,9.9293,27.3697,CBT,0.410,181.0,20.4
NGC7793,1.4444,2.5373,CBT,0.354,116.0,7.9
NGC7814,31.6071,75.8696,CBT,0.407,265.0,19.5
PGC51017,1.3252,1.3200,Newton,0.308,20.5,3.6
UGC00128,26.8083,38.1721,CBT,0.467,134.0,53.8
UGC00191,9.2394,16.1683,CBT,0.368,83.8,10.0
UGC00731,17.5012,20.0243,CBT,0.373,74.0,10.9
UGC00891,43.8501,58.6688,CBT,0.350,63.8,7.4
UGC01230,0.6691,0.8876,CBT,0.444,113.0,36.5
UGC01281,1.2797,1.6051,CBT,0.327,56.9,5.0
UGC02023,0.7404,0.8799,CBT,0.311,58.8,3.8
UGC02259,4.5027,4.5475,CBT,0.356,90.0,8.1
UGC02455,9.7131,11.9622,CBT,0.314,61.0,4.0
UGC02885,12.2273,27.0015,CBT,0.486,305.0,74.1
UGC02916,36.0472,82.1806,CBT,0.446,218.0,38.0
UGC03205,25.5673,60.9271,CBT,0.449,237.0,40.0
UGC03546,16.9398,55.9326,CBT,0.431,262.0,29.2
UGC04278,3.5186,5.5448,CBT,0.344,92.8,6.7
UGC04305,1.4706,1.2824,Newton,0.333,37.3,5.5
UGC04325,6.3518,4.9203,Newton,0.334,92.7,5.6
UGC04483,1.6324,1.6618,CBT,0.244,24.3,1.2
UGC04499,3.7463,5.7513,CBT,0.356,74.3,8.2
UGC05005,2.4177,3.4328,CBT,0.430,100.0,28.6
UGC05414,3.0425,4.1976,CBT,0.316,61.4,4.1
UGC05716,6.6831,14.5685,CBT,0.380,74.7,12.4
UGC05721,11.6584,15.3955,CBT,0.345,82.6,6.7
UGC05750,0.3175,0.4364,CBT,0.416,78.9,22.9
UGC05764,12.4628,11.1795,Newton,0.308,55.8,3.6
UGC05829,0.4322,0.3788,Newton,0.346,68.6,6.9
UGC05918,0.5787,0.4635,Newton,0.320,44.5,4.5
UGC05986,17.5411,28.2198,CBT,0.364,116.0,9.4
UGC05999,5.5052,7.2806,CBT,0.396,100.0,16.2
UGC06399,0.6947,1.1904,CBT,0.354,87.6,7.8
UGC06446,0.3411,0.6271,CBT,0.369,84.9,10.2
UGC06614,8.6870,17.4459,CBT,0.478,205.0,64.6
UGC06628,0.3121,0.2549,Newton,0.352,42.3,7.7
UGC06667,7.9385,8.1202,CBT,0.354,85.7,7.8
UGC06818,7.8077,10.3982,CBT,0.347,74.4,7.0
UGC06917,3.6828,6.3585,CBT,0.371,111.0,10.5
UGC06923,3.1829,4.1785,CBT,0.329,81.1,5.2
UGC06930,0.9411,1.4057,CBT,0.398,109.0,16.6
UGC06973,41.3048,63.3875,CBT,0.354,180.0,7.8
UGC06983,2.4007,4.2060,CBT,0.394,113.0,15.7
UGC07089,1.5293,2.2755,CBT,0.363,79.1,9.2
UGC07125,2.4521,4.3728,CBT,0.405,65.6,18.7
UGC07151,1.9856,3.0185,CBT,0.333,76.2,5.5
UGC07261,1.4705,2.1904,CBT,0.344,76.1,6.7
UGC07323,1.0707,1.7291,CBT,0.336,85.6,5.8
UGC07399,10.6615,15.3052,CBT,0.339,106.0,6.1
UGC07524,1.0326,1.6235,CBT,0.372,83.8,10.7
UGC07559,1.0665,1.1427,CBT,0.287,32.1,2.5
UGC07577,0.2873,0.2958,CBT,0.263,17.8,1.7
UGC07603,14.6799,17.7014,CBT,0.316,64.0,4.1
UGC07608,0.4205,0.4846,CBT,0.324,69.3,4.8
UGC07690,1.7331,2.3897,CBT,0.316,60.7,4.1
UGC07866,0.1195,0.1366,CBT,0.282,33.1,2.3
UGC08286,5.8487,9.7620,CBT,0.355,84.3,8.0
UGC08490,10.0602,16.4464,CBT,0.369,80.1,10.2
UGC08550,10.2236,14.4802,CBT,0.331,57.8,5.4
UGC08699,15.7534,45.8824,CBT,0.423,202.0,25.7
UGC08837,4.2810,5.0871,CBT,0.317,48.0,4.2
UGC09037,17.4327,27.4404,CBT,0.428,160.0,28.0
UGC09992,0.0750,0.0514,Newton,0.312,34.3,3.9
UGC10310,0.2490,0.1756,Newton,0.353,73.2,7.7
UGC11455,14.7226,27.8790,CBT,0.452,291.0,41.9
UGC11557,1.6324,2.2226,CBT,0.371,85.0,10.6
UGC11820,9.2800,10.1577,CBT,0.395,84.5,15.8
UGC11914,8.1789,8.9088,CBT,0.367,305.0,9.8
UGC12506,1.5568,1.9173,CBT,0.462,255.0,50.0
UGC12632,0.5741,0.6062,CBT,0.372,73.2,10.7
UGC12732,0.6281,1.5716,CBT,0.393,98.0,15.4
UGCA281,1.2717,1.2940,CBT,0.237,29.5,1.1
UGCA442,25.3893,37.0556,CBT,0.341,57.8,6.3
UGCA444,0.6342,0.6733,CBT,0.289,38.3,2.6
